1
-0.006088297,0.5401715,0.01878021,0.8413237
0,0,0,0
0.4947598,0.4309974,0.5871912,-0.4739837
0.549334,0.4395444,-0.2408984,0.6685812
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
7
1,-0.2858369,0
0.0111488,0.588285,0.06741817,0.8057613
-0.01285421,0.5924998,0.03304707,0.8047898
0,0,0,0
0.02115441,0.5955288,-0.1225757,0.7936454
0,0,0,0
0.6737148,0.1303248,0.3625008,-0.6306483
0.7408104,0.1619971,0.08464406,-0.6463687
0.7053104,0.2071632,-0.01036428,-0.6778743
0,0,0,0
0,0,0,0
0,0,0,0
0.5721803,0.1033354,0.1532251,0.7990332
0.5739251,-0.2626514,0.2849172,0.7214198
0.5746275,-0.3072715,0.2522762,0.7153631
0,0,0,0
0,0,0,0
0,0,0,0
-0.3531987,0.1471153,-0.6938213,0.6100984
-0.4025676,-0.03979114,-0.9137972,0.03648337
-0.4590445,-0.02856815,-0.8864099,0.05234381
0,0,0,0
0.4145302,0.5169271,0.4949928,0.5620795
-0.02505081,0.6089519,-0.01012497,0.792747
-0.003936863,0.5407282,0.01803638,0.8409949
0,0,0,0
0.5069526,0.4224367,0.5899483,-0.4653037
0.5486359,0.4363939,-0.2387775,0.6719707
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
8
1,-0.2858368,0
0.01051917,0.5879769,0.06714467,0.8060175
-0.01346037,0.5921724,0.03275998,0.8050327
0,0,0,0
0.02062264,0.5951161,-0.1228572,0.7939256
0,0,0,0
0.6739728,0.1240841,0.3702299,-0.6271317
0.7449178,0.155636,0.09047725,-0.6424088
0.7104709,0.2066704,-0.01264846,-0.6725763
0,0,0,0
0,0,0,0
0,0,0,0
0.5677913,0.1120793,0.1596596,0.7997251
0.5711819,-0.2636508,0.2852518,0.7230984
0.5718611,-0.3082788,0.2527923,0.7169626
0,0,0,0
0,0,0,0
0,0,0,0
-0.3550996,0.1447986,-0.6930756,0.6103967
-0.4057272,-0.0405506,-0.9123781,0.03616316
-0.4586882,-0.02916243,-0.8865866,0.05214852
0,0,0,0
0.4136499,0.517343,0.4951109,0.5622415
-0.02566286,0.6057125,-0.01031156,0.795203
-0.005189828,0.54019,0.01823621,0.8413298
0,0,0,0
0.4957726,0.4303194,0.5874441,-0.4732274
0.5492731,0.4392415,-0.2407038,0.6689007
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
9
1,-0.2858367,0
0.01043404,0.5879459,0.06709558,0.8060453
-0.01353479,0.5921433,0.032711,0.8050549
0,0,0,0
0.02055802,0.5950798,-0.1229078,0.7939467
0,0,0,0
0.6738414,0.1227233,0.3718496,-0.626582
0.7452618,0.1544558,0.09172852,-0.6421173
0.7111031,0.2067901,-0.01322575,-0.6718601
0,0,0,0
0,0,0,0
0,0,0,0
0.5670707,0.1134136,0.1605676,0.7998666
0.5708375,-0.2636918,0.28533,0.7233244
0.5715263,-0.3085158,0.2527309,0.7171494
0,0,0,0
0,0,0,0
0,0,0,0
-0.3553786,0.1445262,-0.6929702,0.6104187
-0.4062036,-0.04063858,-0.9121642,0.03611156
-0.4586979,-0.02919136,-0.8865827,0.05211127
0,0,0,0
0.4135527,0.5174358,0.495106,0.5622318
-0.02575719,0.6047495,-0.01029427,0.7959329
-0.00578596,0.5400326,0.01855666,0.8414201
0,0,0,0
0.4942058,0.4314085,0.5870759,-0.4743305
0.5493605,0.4396451,-0.2409927,0.6684594
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
10
1,-0.2858366,0
0.01047846,0.5879717,0.0671072,0.806025
-0.01348322,0.5921755,0.03272521,0.8050315
0,0,0,0
0.0206038,0.5951235,-0.1228981,0.7939144
0,0,0,0
0.6737085,0.1227399,0.3717717,-0.6267679
0.7448151,0.1547199,0.09161508,-0.6425881
0.7106838,0.2070752,-0.01341213,-0.6722118
0,0,0,0
0,0,0,0
0,0,0,0
0.5672613,0.1129674,0.1601911,0.7998701
0.5710534,-0.2636052,0.2852928,0.7232003
0.571761,-0.3085752,0.2525511,0.7170002
0,0,0,0
0,0,0,0
0,0,0,0
-0.3552697,0.1447106,-0.6930129,0.6103899
-0.4060401,-0.04055676,-0.9122399,0.03612697
-0.45875,-0.02908839,-0.8865587,0.05211943
0,0,0,0
0.4136309,0.5174335,0.4950867,0.5621933
-0.02571214,0.6047118,-0.01024592,0.7959635
-0.005899646,0.5400677,0.01870126,0.8413932
0,0,0,0
0.4949337,0.4308903,0.5872436,-0.4738347
0.5493282,0.4394704,-0.2408811,0.6686411
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
11
1,-0.2858365,0
0.01057811,0.5880209,0.06714454,0.8059847
-0.01338014,0.592232,0.0327644,0.80499
0,0,0,0
0.02069159,0.595197,-0.1228669,0.7938618
0,0,0,0
0.6736289,0.1235481,0.3707511,-0.627299
0.7441317,0.1557514,0.0907229,-0.6432567
0.709851,0.2074017,-0.01340431,-0.672991
0,0,0,0
0,0,0,0
0,0,0,0
0.567888,0.1116987,0.1592401,0.7997935
0.5714824,-0.2635193,0.2851756,0.722939
0.5722256,-0.3085347,0.2523524,0.7167167
0,0,0,0
0,0,0,0
0,0,0,0
-0.3549834,0.145077,-0.6931243,0.610343
-0.4055745,-0.04039823,-0.9124524,0.03616929
-0.4587826,-0.02894343,-0.8865448,0.05214832
